id	amr_class	mic_value	species
REC_082	Aminoglycoside	86.92431634531766	E. coli
REC_083	Beta-lactam	123.48791317583708	K. pneumoniae
REC_084	Tetracycline	24.868841089251198	K. pneumoniae
REC_085	Aminoglycoside	84.84490344616862	K. pneumoniae
REC_086	Beta-lactam	74.4304210038728	E. coli
REC_087	Aminoglycoside	39.40657420310251	P. aeruginosa
REC_088	Beta-lactam	94.57104890427527	P. aeruginosa
REC_089	Beta-lactam	84.06402839894828	E. coli
REC_090	Fluoroquinolone	70.45149944479223	P. aeruginosa
REC_091	Beta-lactam	72.00426359078106	K. pneumoniae
REC_092	Fluoroquinolone	49.50980573185319	E. coli
REC_093	Tetracycline	15.265830375009825	E. coli
REC_094	Aminoglycoside	107.03168587831814	E. coli
REC_095	Tetracycline	44.11388803262594	E. coli
REC_096	Beta-lactam	98.20943273626638	K. pneumoniae
REC_097	Beta-lactam	23.987820399127735	P. aeruginosa
REC_098	Beta-lactam	48.07229883534246	S. aureus
REC_099	Beta-lactam	11.720582856288104	E. coli
